time,target,value
DEF,1,StationToStationAgent/0/implFeed
DEF,2,StationToStationAgent/0/distanceToTarget
DEF,3,StationToStationAgent/0/force
DEF,4,StationToStationAgent/0/segmentId
DEF,5,StationToStationAgent/0/velocity
DEF,6,StationToStationAgent/0/velocity(target)
DEF,7,StationToStationAgent/0/debug
215,7,0.13414097
216,2,4243.918
216,3,1000000
216,4,18
216,6,69.44444
216,5,51.18664
216,7,0.06764806
217,2,4192.231
217,3,1000000
217,4,17
217,6,69.44444
217,5,52.18664
217,7,0.99984723
218,2,4139.5444
218,3,1000000
218,4,17
218,6,69.44444
218,5,53.18664
218,7,0.93246603
219,2,4085.858
219,3,1000000
219,4,17
219,6,69.44444
219,5,54.186638
219,7,0.8638059
220,2,4031.1711
220,3,1000000
220,4,17
220,6,69.44444
220,5,55.186638
220,7,0.7938669
221,2,3975.4846
221,3,1000000
221,4,17
221,6,69.44444
221,5,56.186634
221,7,0.7226489
222,2,3918.7979
222,3,1000000
222,4,17
222,6,69.44444
222,5,57.186634
222,7,0.6501521
223,2,3861.1113
223,3,1000000
223,4,17
223,6,69.44444
223,5,58.18663
223,7,0.5763763
224,2,3802.4248
224,3,1000000
224,4,17
224,6,69.44444
224,5,59.18663
224,7,0.5013217
225,2,3742.738
225,3,1000000
225,4,17
225,6,69.44444
225,5,60.186626
225,7,0.42498812
226,2,3682.0515
226,3,1000000
226,4,17
226,6,69.44444
226,5,61.186626
226,7,0.34737566
227,2,3620.3647
227,3,1000000
227,4,17
227,6,69.44444
227,5,62.186623
227,7,0.2684843
228,2,3557.6782
228,3,1000000
228,4,17
228,6,69.44444
228,5,63.18662
228,7,0.18831404
229,2,3493.9917
229,3,1000000
229,4,17
229,6,69.44444
229,5,64.186615
229,7,0.10686488
230,2,3429.305
230,3,851565.56
230,4,17
230,6,69.44444
230,5,65.186615
230,7,0.024136813
231,2,3363.6926
231,3,681253.06
231,4,16
231,6,69.44444
231,5,66.03818
231,7,0.913411
232,2,3297.314
232,3,545002.75
232,4,16
232,6,69.44444
232,5,66.71943
232,7,0.79043823
233,2,3230.322
233,3,436000.06
233,4,16
233,6,69.44444
233,5,67.26444
233,7,0.66632956
234,2,3162.8396
234,3,348800.66
234,4,16
234,6,69.44444
234,5,67.70044
234,7,0.54131216
235,2,3094.9648
235,3,279040.53
235,4,16
235,6,69.44444
235,5,68.04924
235,7,0.41556782
236,2,3026.776
236,3,223233.03
236,4,16
236,6,69.44444
236,5,68.32828
236,7,0.2892419
237,2,2958.3362
237,3,178585.81
237,4,16
237,6,69.44444
237,5,68.55151
237,7,0.16245075
238,2,2889.6953
238,3,142868.05
238,4,16
238,6,69.44444
238,5,68.7301
238,7,0.035287373
239,2,2820.8938
239,3,114294.44
239,4,15
239,6,69.44444
239,5,68.87297
239,7,0.9277311
240,2,2751.9636
240,3,91435.24
240,4,15
240,6,69.44444
240,5,68.98727
240,7,0.8276084
241,2,2682.9307
241,3,73147.586
241,4,15
241,6,69.44444
241,5,69.078705
241,7,0.7273363
242,2,2613.8154
242,3,58517.457
242,4,15
242,6,69.44444
242,5,69.151855
242,7,0.6269446
243,2,2544.6343
243,3,46813.965
243,4,15
243,6,69.44444
243,5,69.21037
243,7,0.5264573
244,2,2475.4004
244,3,37451.17
244,4,15
244,6,69.44444
244,5,69.25719
244,7,0.42589352
245,2,2406.1245
245,3,29960.633
245,4,15
245,6,69.44444
245,5,69.29464
245,7,0.32526854
246,2,2336.815
246,3,23968.506
246,4,15
246,6,69.44444
246,5,69.3246
246,7,0.22459458
247,2,2267.4785
247,3,19174.195
247,4,15
247,6,69.44444
247,5,69.34857
247,7,0.12388145
248,2,2198.12
248,3,15339.66
248,4,15
248,6,69.44444
248,5,69.367744
